=== ITEMS EXTRAITS DU csS ===
UID: 1470358021816188956 | f1 varint = 1470358021816188956
UID: 1470358021799412349 | f1 varint = 1470358021799412349
UID: 1470358022017515634 | f1 varint = 1470358022017515634
UID: 1470358079143936100 | f1 varint = 1470358079143936100
UID: 1470358021799412416 | f1 varint = 1470358021799412416
UID: 1470358021799412404 | f1 varint = 1470358021799412404
UID: 1469795163147600381 | f1 varint = 1469795163147600381
UID: 1470357996700696719 | f1 varint = 1470357996700696719
UID: 1470358021816189240 | f1 varint = 1470358021816189240
UID: 1469795071275565584 | f1 varint = 1469795071275565584
UID: 1470358089713582110 | f1 varint = 1470358089713582110
UID: 1470358079143936120 | f1 varint = 1470358079143936120
UID: 1470358187524751581 | f1 varint = 1470358187524751581
UID: 1470358043844674093 | f1 varint = 1470358043844674093
UID: 1470358021816188953 | f1 varint = 1470358021816188953
UID: 1470358089713582797 | f1 varint = 1470358089713582797
UID: 1470358022017515634 | f1 varint = 1470358022017515634
UID: 1470358021816189142 | f1 varint = 1470358021816189142
UID: 1470358021799412345 | f1 varint = 1470358021799412345
UID: 1470358021799412404 | f1 varint = 1470358021799412404
UID: 1470358021799412304 | f1 varint = 1470358021799412304
UID: 1470357996700696719 | f1 varint = 1470357996700696719
UID: 1470358021816189240 | f1 varint = 1470358021816189240
UID: 1470358105182175256 | f1 varint = 1470358105182175256
UID: 1470358087683539409 | f1 varint = 1470358087683539409
UID: 1470358021799412365 | f1 varint = 1470358021799412365
UID: 1470358086811123915 | f1 varint = 1470358086811123915
UID: 1470358087733870813 | f1 varint = 1470358087733870813
UID: 1470358088136524250 | f1 varint = 1470358088136524250
UID: 1470358089713582797 | f1 varint = 1470358089713582797
UID: 1470358086962118768 | f1 varint = 1470358086962118768
UID: 1470358086962119014 | f1 varint = 1470358086962119014
UID: 1470358087180222534 | f1 varint = 1470358087180222534
UID: 1470358021799412388 | f1 varint = 1470358021799412388
UID: 1469795071409782811 | f1 varint = 1469795071409782811
UID: 1470357996700696719 | f1 varint = 1470357996700696719
UID: 1470358021816189240 | f1 varint = 1470358021816189240
UID: 1470358128770941076 | f1 varint = 1470358128770941076
UID: 1470358079143936114 | f1 varint = 1470358079143936114
UID: 1470358021816188999 | f1 varint = 1470358021816188999
UID: 1470358021816189051 | f1 varint = 1470358021816189051
UID: 1470358021799412346 | f1 varint = 1470358021799412346
UID: 1470358088136524250 | f1 varint = 1470358088136524250
UID: 1470358021816189212 | f1 varint = 1470358021816189212
UID: 1470358092397936685 | f1 varint = 1470358092397936685
UID: 1470358021816189091 | f1 varint = 1470358021816189091
UID: 1470358021816189030 | f1 varint = 1470358021816189030
UID: 1470358022218842548 | f1 varint = 1470358022218842548
UID: 1470358021816189005 | f1 varint = 1470358021816189005
UID: 1470357996700696719 | f1 varint = 1470357996700696719
UID: 1470358021816189240 | f1 varint = 1470358021816189240
UID: 1470358128770941076 | f1 varint = 1470358128770941076
UID: 1470076659313934407 | f1 varint = 1470076659313934407
UID: 1470358077080338634 | f1 varint = 1470358077080338634
UID: 1470358077197779112 | f1 varint = 1470358077197779112
UID: 1470358021799412346 | f1 varint = 1470358021799412346
UID: 1470358077533323895 | f1 varint = 1470358077533323895
UID: 1470358075738161533 | f1 varint = 1470358075738161533
UID: 1470358092095947190 | f1 varint = 1470358092095947190
UID: 1470358073506791553 | f1 varint = 1470358073506791553
UID: 1470358021816189001 | f1 varint = 1470358021816189001
UID: 1470358075134182017 | f1 varint = 1470358075134182017
UID: 1470358021816189005 | f1 varint = 1470358021816189005
UID: 1470357996700696719 | f1 varint = 1470357996700696719
UID: 1470358021816189240 | f1 varint = 1470358021816189240
UID: 1470358132042498497 | f1 varint = 1470358132042498497
UID: 1470076658928058490 | f1 varint = 1470076658928058490
UID: 1470358021816189216 | f1 varint = 1470358021816189216
UID: 1470358077197779112 | f1 varint = 1470358077197779112
UID: 1470076659011944456 | f1 varint = 1470076659011944456
UID: 1470358077533323895 | f1 varint = 1470358077533323895
UID: 1470358075738161533 | f1 varint = 1470358075738161533
UID: 1470358092095947190 | f1 varint = 1470358092095947190
UID: 1470358021799412340 | f1 varint = 1470358021799412340
UID: 1470358021816189032 | f1 varint = 1470358021816189032
UID: 1470358075134182017 | f1 varint = 1470358075134182017
UID: 1470358021799412269 | f1 varint = 1470358021799412269
UID: 1470357996700696719 | f1 varint = 1470357996700696719
UID: 1470358021816189240 | f1 varint = 1470358021816189240
UID: 1468950738636898637 | f1 varint = 1468950738636898637
UID: 1468950738636898635 | f1 varint = 1468950738636898635
UID: 1470358128368287946 | f1 varint = 1470358128368287946
UID: 1468950738754339192 | f1 varint = 1468950738754339192
UID: 1470358128368287936 | f1 varint = 1470358128368287936
UID: 1468950738704007453 | f1 varint = 1468950738704007453
UID: 1470358128368287948 | f1 varint = 1470358128368287948
UID: 1468950738636898641 | f1 varint = 1468950738636898641
UID: 1470358128368287944 | f1 varint = 1470358128368287944
UID: 1470357996700696719 | f1 varint = 1470357996700696719
UID: 1470358021816189240 | f1 varint = 1470358021816189240
UID: 1470357998193869132 | f1 varint = 1470357998193869132
UID: 1470357998344864033 | f1 varint = 1470357998344864033
UID: 1470357996885246438 | f1 varint = 1470357996885246438
UID: 1470357998411972623 | f1 varint = 1470357998411972623
UID: 1470357998495858744 | f1 varint = 1470357998495858744
